jahr;monat;tourismusregion;tourismusjahr;tourismushalbjahr;unterkunft_6;ankuenfte;uebernachtungen
2004;1 ;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 3*;7848;34958
2004;1 ;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;14571;69671
2004;1 ;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Gew. FEWO;6349;37771
2004;1 ;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Priv. FEWO;5506;32740
2004;1 ;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Privatquartiere;1104;5585
2004;1 ;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;WHJ;Sonstige inkl. Camping;440;2510
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 2/1*;2670;16669
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 3*;6845;35097
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;3739;18789
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Gew. FEWO;1221;6887
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Priv. FEWO;1550;11038
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Privatquartiere;904;6048
2004;1 ;Hohe Tauern – die Nationalpark Region in Kärnten;2003/04;WHJ;Sonstige inkl. Camping;1696;6932
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 2/1*;1002;3246
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 3*;2985;13550
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;6657;35247
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Gew. FEWO;477;2662
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Priv. FEWO;779;4582
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Privatquartiere;141;698
2004;1 ;Katschberg/Lieser- und Maltatal;2003/04;WHJ;Sonstige inkl. Camping;158;934
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 2/1*;772;2979
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 3*;2281;8681
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;2484;12715
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Gew. FEWO;771;4789
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Priv. FEWO;511;3110
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Privatquartiere;174;842
2004;1 ;Klopeiner See – Südkärnten/Lavanttal;2003/04;WHJ;Sonstige inkl. Camping;648;2161
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 2/1*;397;1040
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 3*;544;1871
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;653;2905
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Gew. FEWO;31;305
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Priv. FEWO;367;3153
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Privatquartiere;65;363
2004;1 ;Kärnten-Mitte;2003/04;WHJ;Sonstige inkl. Camping;716;11543
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. Betr. 2/1*;1690;8329
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. Betr. 3*;10411;50062
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;10357;57876
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Gew. FEWO;5002;30822
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Priv. FEWO;5172;31547
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Privatquartiere;1649;8230
2004;1 ;Nassfeld – Pressegger See/Lesachtal/Weissensee;2003/04;WHJ;Sonstige inkl. Camping;1911;12213
2004;1 ;Region Klagenfurt;2003/04;WHJ;Gew. Betr. 2/1*;546;1181
2004;1 ;Region Klagenfurt;2003/04;WHJ;Gew. Betr. 3*;2715;4741
2004;1 ;Region Klagenfurt;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;3726;5846
2004;1 ;Region Klagenfurt;2003/04;WHJ;Priv. FEWO;30;108
2004;1 ;Region Klagenfurt;2003/04;WHJ;Privatquartiere;118;260
2004;1 ;Region Klagenfurt;2003/04;WHJ;Sonstige inkl. Camping;849;2456
2004;1 ;Region Villach;2003/04;WHJ;Gew. Betr. 2/1*;1283;6139
2004;1 ;Region Villach;2003/04;WHJ;Gew. Betr. 3*;7317;32015
2004;1 ;Region Villach;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;9547;40573
2004;1 ;Region Villach;2003/04;WHJ;Gew. FEWO;5107;26652
2004;1 ;Region Villach;2003/04;WHJ;Priv. FEWO;1290;8739
2004;1 ;Region Villach;2003/04;WHJ;Privatquartiere;220;1240
2004;1 ;Region Villach;2003/04;WHJ;Sonstige inkl. Camping;2013;10050
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Gew. Betr. 2/1*;77;836
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Gew. Betr. 3*;1538;4469
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Gew. Betr. 5*/4*/4* S;1555;4605
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Gew. FEWO;399;3385
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Priv. FEWO;42;630
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Privatquartiere;46;145
2004;1 ;Wörthersee/Rosental;2003/04;WHJ;Sonstige inkl. Camping;184;765
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Gew. Betr. 2/1*;1138;4057
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Gew. Betr. 3*;5168;13934
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Gew. Betr. 5*/4*/4* S;9375;38101
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Gew. FEWO;2384;9365
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Priv. FEWO;1290;8999
2004;10;Bad Kleinkirchheim/Millstätter See/Nockberge;2003/04;SHJ;Privatquartiere;552;2514
