id;gemeinde;bezirk;nuts3;bundesland;tourismusregion
20711;Finkenstein am Faaker See;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20712;Fresach;Villach Land;Klagenfurt-Villach;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
20713;Hohenthurn;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20719;Nötsch im Gailtal;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20720;Paternion;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20721;Rosegg;Villach Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20722;St. Jakob im Rosental;Villach Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20723;Stockenboi;Villach Land;Klagenfurt-Villach;Kärnten;Nassfeld – Pressegger See/Lesachtal/Weissensee
20724;Treffen am Ossiacher See;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20725;Velden am Wörther See;Villach Land;Klagenfurt-Villach;Kärnten;Wörthersee/Rosental
20726;Weißenstein;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20727;Wernberg;Villach Land;Klagenfurt-Villach;Kärnten;Region Villach
20801;Bleiburg;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20802;Diex;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20803;Eberndorf;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20804;Eisenkappel-Vellach;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20805;Feistritz ob Bleiburg;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20806;Gallizien;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20807;Globasnitz;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20808;Griffen;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20810;Neuhaus;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20812;Ruden;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20813;St. Kanzian am Klopeiner See;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20815;Sittersdorf;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20817;Völkermarkt;Völkermarkt;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20901;Bad St. Leonhard im Lavanttal;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20905;Frantschach-St. Gertraud;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20909;Lavamünd;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20911;Preitenegg;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20912;Reichenfels;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20913;St. Andrä;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20914;St. Georgen im Lavanttal;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20918;St. Paul im Lavanttal;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
20923;Wolfsberg;Wolfsberg;Unterkärnten;Kärnten;Klopeiner See – Südkärnten/Lavanttal
21001;Albeck;Feldkirchen;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
21002;Feldkirchen in Kärnten;Feldkirchen;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
21003;Glanegg;Feldkirchen;Oberkärnten;Kärnten;Kärnten-Mitte
21004;Gnesau;Feldkirchen;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
21005;Himmelberg;Feldkirchen;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
21006;Ossiach;Feldkirchen;Oberkärnten;Kärnten;Region Villach
21007;Reichenau;Feldkirchen;Oberkärnten;Kärnten;Bad Kleinkirchheim/Millstätter See/Nockberge
21008;St. Urban;Feldkirchen;Oberkärnten;Kärnten;Kärnten-Mitte
21009;Steindorf am Ossiacher See;Feldkirchen;Oberkärnten;Kärnten;Region Villach
21010;Steuerberg;Feldkirchen;Oberkärnten;Kärnten;Kärnten-Mitte
99999;unbekannt;unbekannt;unbekannt;unbekannt;
