Jahr;Tourismushalbjahr;Tourismusregion;Unterkunft;Art;Anzahl
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Bewirtschaftete Schutzhütten;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Bewirtschaftete Schutzhütten;Zusatzbetten;613
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Campingplatz;Betriebe;18
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Campingplatz;Betten;3626
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Campingplatz;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Campingplatz;Zusatzbetten;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) auf Bauernhof;Betriebe;86
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) auf Bauernhof;Betten;586
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) auf Bauernhof;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) auf Bauernhof;Zusatzbetten;61
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) n. auf Bauernhof;Betriebe;286
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) n. auf Bauernhof;Betten;1946
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) n. auf Bauernhof;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Ferienwohnung (priv.) n. auf Bauernhof;Zusatzbetten;169
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betriebe;127
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 2 bzw. 1*;Betten;2585
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zimmer;1132
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 2 bzw. 1*;Zusatzbetten;64
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 3 *;Betriebe;97
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 3 *;Betten;3975
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 3 *;Zimmer;1846
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 3 *;Zusatzbetten;48
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betriebe;13
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Betten;1062
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zimmer;505
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Beherb.betriebe 5*/4*/4* Superior;Zusatzbetten;16
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Ferienwohnung bzw. -haus;Betriebe;21
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Ferienwohnung bzw. -haus;Betten;392
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Ferienwohnung bzw. -haus;Zimmer;109
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Gewerbl. Ferienwohnung bzw. -haus;Zusatzbetten;50
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Jugendherbergen u. -gästehäuser;Betriebe;1
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Jugendherbergen u. -gästehäuser;Betten;83
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Jugendherbergen u. -gästehäuser;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Jugendherbergen u. -gästehäuser;Zusatzbetten;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kinder- u. Jugenderholungsheime;Betriebe;1
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kinder- u. Jugenderholungsheime;Betten;62
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kinder- u. Jugenderholungsheime;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kinder- u. Jugenderholungsheime;Zusatzbetten;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kurheim der Sozialversich.träger;Betriebe;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kurheim der Sozialversich.träger;Betten;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kurheim der Sozialversich.träger;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Kurheim der Sozialversich.träger;Zusatzbetten;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Private u. öffentl. Kurheime;Betriebe;2
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Private u. öffentl. Kurheime;Betten;224
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Private u. öffentl. Kurheime;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Private u. öffentl. Kurheime;Zusatzbetten;7
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere auf Bauernhof;Betriebe;180
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere auf Bauernhof;Betten;1284
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere auf Bauernhof;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere auf Bauernhof;Zusatzbetten;59
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere nicht auf Bauernhof;Betriebe;334
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere nicht auf Bauernhof;Betten;2108
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere nicht auf Bauernhof;Zimmer;0
1998;Sommer;Hohe Tauern – die Nationalpark Region in Kärnten;Privatquartiere nicht auf Bauernhof;Zusatzbetten;62
